Comparing (Focus group),Cigarette Use Prevalence % (Focus group),To (Reference group),Cigarette Use Prevalence % (Reference group)
Age 18-24,30.3,Age 25-44,28.1
Age 18-24,30.3,Age 45-64,26.0
Age 18-24,30.3,Age 65 or older,10.2
Age 25-44,28.1,Age 18-24,30.3
Age 25-44,28.1,Age 45-64,26.0
Age 25-44,28.1,Age 65 or older,10.2
Age 45-64,26.0,Age 18-24,30.3
Age 45-64,26.0,Age 25-44,28.1
Age 45-64,26.0,Age 65 or older,10.2
Age 65 or older,10.2,Age 18-24,30.3
Age 65 or older,10.2,Age 25-44,28.1
Age 65 or older,10.2,Age 45-64,26.0
Age 18-24,21.8,Age 25-44,26.3
Age 18-24,21.8,Age 45-64,23.1
Age 18-24,21.8,Age 65 or older,12.4
Age 25-44,26.3,Age 18-24,21.8
Age 25-44,26.3,Age 45-64,23.1
Age 25-44,26.3,Age 65 or older,12.4
Age 45-64,23.1,Age 18-24,21.8
Age 45-64,23.1,Age 25-44,26.3
Age 45-64,23.1,Age 65 or older,12.4
Age 65 or older,12.4,Age 18-24,21.8
Age 65 or older,12.4,Age 25-44,26.3
Age 65 or older,12.4,Age 45-64,23.1
Age 18-24,19.2,Age 25-44,23.2
Age 18-24,19.2,Age 45-64,20.6
Age 18-24,19.2,Age 65 or older,9.0
Age 25-44,23.2,Age 18-24,19.2
Age 25-44,23.2,Age 45-64,20.6
Age 25-44,23.2,Age 65 or older,9.0
Age 45-64,20.6,Age 18-24,19.2
Age 45-64,20.6,Age 25-44,23.2
Age 45-64,20.6,Age 65 or older,9.0
Age 65 or older,9.0,Age 18-24,19.2
Age 65 or older,9.0,Age 25-44,23.2
Age 65 or older,9.0,Age 45-64,20.6
Age 18-24,27.1,Age 25-44,33.0
Age 18-24,27.1,Age 45-64,29.6
Age 18-24,27.1,Age 65 or older,11.6
Age 25-44,33.0,Age 18-24,27.1
Age 25-44,33.0,Age 45-64,29.6
Age 25-44,33.0,Age 65 or older,11.6
Age 45-64,29.6,Age 18-24,27.1
Age 45-64,29.6,Age 25-44,33.0
Age 45-64,29.6,Age 65 or older,11.6
Age 65 or older,11.6,Age 18-24,27.1
Age 65 or older,11.6,Age 25-44,33.0
Age 65 or older,11.6,Age 45-64,29.6
Age 18-24,13.4,Age 25-44,16.4
Age 18-24,13.4,Age 45-64,13.7
Age 18-24,13.4,Age 65 or older,6.9
Age 25-44,16.4,Age 18-24,13.4
Age 25-44,16.4,Age 45-64,13.7
Age 25-44,16.4,Age 65 or older,6.9
Age 45-64,13.7,Age 18-24,13.4
Age 45-64,13.7,Age 25-44,16.4
Age 45-64,13.7,Age 65 or older,6.9
Age 65 or older,6.9,Age 18-24,13.4
Age 65 or older,6.9,Age 25-44,16.4
Age 65 or older,6.9,Age 45-64,13.7
Age 18-24,21.6,Age 25-44,21.8
Age 18-24,21.6,Age 45-64,17.3
Age 18-24,21.6,Age 65 or older,8.8
Age 25-44,21.8,Age 18-24,21.6
Age 25-44,21.8,Age 45-64,17.3
Age 25-44,21.8,Age 65 or older,8.8
Age 45-64,17.3,Age 18-24,21.6
Age 45-64,17.3,Age 25-44,21.8
Age 45-64,17.3,Age 65 or older,8.8
Age 65 or older,8.8,Age 18-24,21.6
Age 65 or older,8.8,Age 25-44,21.8
